prijmeni	jmeno	strana	id	from	dily
Černota	Jiří	ODS	id_0096	id_0442	2
Gjurič	Andrej	ODS	id_0160	id_0738	2
Grůza	Jan	KDU-ČSL	id_0172	id_0029	2
Hrubý	Václav	ODS	id_0213	id_0369	2
Kladívko	Tomáš	ODS	id_0272	id_0749	2
Kozel	František	ODS	id_0317	id_0502	2
Kužílek	Oldřich	ODA	id_0348	id_0261	2
Kynčl	Milan	ODA	id_0352	id_0111	2
Leština	Miroslav	ODA	id_0363	id_0101	3
Molín	Josef	ODS	id_0416	id_0152	2
Němec	Igor	ODS	id_0431	id_0751	2
Parkanová	Vlasta	ODA	id_0471	id_0363	3
Procházka	Vladimír	KDU-ČSL	id_0524	id_0253	2
Šnajdauf	František	ODS	id_0629	id_0070	2
