prijmeni	jmeno	strana	id	from	dily
Adam	Vojtěch	KSČM	id_0002	id_0026	2
Besta	Zdeněk	ČSSD	id_0043	id_0531	2
Brzobohatá	Zuzana 	ČSSD	id_0069	id_0257	3
Domesová	Zuzana	ČSSD	id_0118	id_0183	2
Dopitová	Zdenka	ČSSD	id_0119	id_0300	2
Grůza	Jan	KDU-ČSL	id_0172	id_0645	2
Hájek	Petr	ČSSD	id_0174	id_0069	3
Hašková	Monika	ODS	id_0184	id_0660	2
Husák	Jan	KDU-ČSL	id_0218	id_0618	2
Janeček	Jiří	ODS	id_0236	id_0272	2
Jeník	Miroslav	ODS	id_0240	id_0417	2
Kantor	Ivo	ODS	id_0263	id_0212	2
Kočí	Irena	ČSSD	id_0284	id_0514	2
Kotouš	Zdeněk	ČSSD	id_0308	id_0697	2
Kubinyi	Josef	ČSSD	id_0334	id_0613	2
Kubjátová	Yvona	ČSSD	id_0335	id_0695	2
Navrátilová	Ludmila	ČSSD	id_0423	id_0391	2
Němec	Pavel	ČSSD	id_0433	id_0653	2
Nowak	Libor	ODS	id_0451	id_0560	2
Slámová	Klára	ODS	id_0574	id_0539	2
Smetana	Pavel	ČSSD	id_0576	id_0681	2
Velebný	Ladislav	ČSSD	id_0688	id_0343	2
Vojtilová	Jitka	ČSSD	id_0701	id_0128	2
Vomáčko	Ladislav	ČSSD	id_0707	id_0554	2
