prijmeni	jmeno	strana	id	from	dily
Bohdalová	Vlasta	ČSSD	id_0056	id_0753	2
Gabrhel	Vlastimil	ČSSD	id_0156	id_0183	2
Syblík	Zdeněk	ČSSD	id_0607	id_0494	2
Sobotka 	Jan	ANO	id_0582	id_0016	3
Kott	Josef	ANO	id_0309	id_0582	3
Petrtýl	František	ANO	id_0497	id_0516	2
Šánová	Zuzana	ANO	id_0610	id_0249	2
Luzar	Leo	KSČM	id_0375	id_0294	2
Plíšek	Martin	TOP09	id_0510	id_0520	2
Vilímec	Vladislav	ODS	id_0692	id_0521	2
Golasowská	Pavla	KDU-ČSL	id_0161	id_0513	2
Rutová	Miloslava	ANO	id_0548	id_0713	2
Jelonková	Barbora	ČSSD	id_0761	id_0620	2
Skopeček	Jan	ODS	id_0763	id_0045	2
Valhoda	Václav	ČSSD	id_0764	id_0235	2
