prijmeni	jmeno	strana	id	from	dily
Bauer 	Jan	ODS	id_0025	id_0758	2
Benda 	Marek	ODS	id_0032	id_0731	2
Böhnisch 	Robin	ČSSD	id_0057	id_0546	2
Brožík 	František	ČSSD	id_0066	id_0131	3
Domesová 	Zuzana	ČSSD	id_0118	id_0314	3
Černohorská 	Silva	ČSSD	id_0093	id_0118	3
Fischer 	Stanislav	KSČM	id_0144	id_0535	2
Grega 	Andrej	ČSSD	id_0164	id_0324	2
Hamplová	Jana	ČSSD	id_0177	id_0120	2
Jičínský 	Zdeněk	ČSSD	id_0244	id_0666	2
Kádner 	Tomáš	ODS	id_0254	id_0117	2
Kochan 	Jozef	ODS	id_0289	id_0476	2
Koníček	František	ČSSD	id_0295	id_0054	3
Kořistka 	Zdeněk	US-DEU	id_0303	id_0047	2
Kratochvíle 	Karel	ČSSD	id_0323	id_0634	2
Kubuš 	Pavol	ČSSD	id_0336	id_0380	2
Máče 	Miroslav	ČSSD	id_0377	id_0411	2
Maršíček 	Zdeněk	KSČM	id_0390	id_0208	2
Máša 	Miloš	ČSSD	id_0394	id_0079	2
Mazuchová 	Lenka	ČSSD	id_0401	id_0295	3
Mocová	Dagmar	ČSSD	id_0414	id_0168	2
Petr 	Břetislav	ČSSD	id_0495	id_0468	2
Pícl 	Václav	ČSSD	id_0501	id_0672	2
Poláček 	Josef	ODS	id_0517	id_0465	2
Reiber	Vladimír	KSČM	id_0538	id_0287	2
Severa 	Pavel	KDU-ČSL	id_0562	id_0719	2
Rozehnal 	Aleš	ODS	id_0543	id_0278	2
Schwippel 	Jan	ODS	id_0567	id_0133	2
Švarcbek 	Josef	KSČM	id_0646	id_0396	2
Tluchoř	Petr	ODS	id_0656	id_0081	2
Vnouček 	František	ČSSD	id_0697	id_0541	2
Vokáč	Robert	US-DEU	id_0702	id_0413	2
Vomáčko 	Ladislav	ČSSD	id_0707	id_0554	2
Vondruška 	Josef	KSČM	id_0710	id_0068	2
Vrbík 	Tomáš	US-DEU	id_0715	id_0393	2
Zapletal 	Cyril	ČSSD	id_0740	id_0195	2
Grüner 	Václav	ČSSD	id_0170	id_0066	3
