prijmeni	jmeno	id	pspcr	wiki	personal
Dienstbier	Jiří	id_0108	http://www.psp.cz/sqw/detail.sqw?id=1016&o=6	https://cs.wikipedia.org/wiki/Ji%C5%99%C3%AD_Dienstbier_mlad%C5%A1%C3%AD	https://twitter.com/jiridienstbier?lang=cs
Dimitrov	Kosta	id_0109	http://www.psp.cz/sqw/detail.sqw?id=5454&o=5		
Dlab	Vlastimil	id_0110	http://www.psp.cz/sqw/detail.sqw?id=5289&o=4		
Dlouhý	Vladimír	id_0111	http://www.psp.cz/sqw/detail.sqw?id=288&o=2		
Dobeš	Josef	id_0112	http://www.psp.cz/sqw/detail.sqw?id=5904&o=6	https://cs.wikipedia.org/wiki/Josef_Dobe%C5%A1	
Dobešová	Ivana	id_0113	https://www.psp.cz/sqw/detail.sqw?id=6189		
Doktor	Michal	id_0114	http://www.psp.cz/sqw/detail.sqw?id=356&o=6	https://cs.wikipedia.org/wiki/Michal_Doktor	
Dolejš	Jiří	id_0115	https://www.psp.cz/sqw/detail.sqw?id=5261	https://cs.wikipedia.org/wiki/Ji%C5%99%C3%AD_Dolej%C5%A1	https://twitter.com/DolejsJiri?lang=cs
Dolejš	Richard	id_0116	https://www.psp.cz/sqw/detail.sqw?id=5456		
Doležal	Vladimír	id_0117	http://www.psp.cz/sqw/detail.sqw?id=357&o=4		
Domesová	Zuzana	id_0118	http://www.psp.cz/sqw/detail.sqw?id=5430&o=5		
Dopitová	Zdenka	id_0119	http://www.psp.cz/sqw/detail.sqw?id=5769&o=5		
Dostál	Pavel	id_0120	http://www.psp.cz/sqw/detail.sqw?id=209&o=4	https://cs.wikipedia.org/wiki/Pavel_Dost%C3%A1l	
Dostálová	Kateřina	id_0121	http://www.psp.cz/sqw/detail.sqw?o=4&id=358		
Drábek	Jaromír	id_0122	http://www.psp.cz/sqw/detail.sqw?id=5905&o=6	https://cs.wikipedia.org/wiki/Jarom%C3%ADr_Dr%C3%A1bek	http://www.jaromirdrabek.cz/
Drastichová	Jana	id_0123	http://www.psp.cz/sqw/detail.sqw?o=6&id=5906		
Drda	Jiří	id_0124	http://www.psp.cz/sqw/detail.sqw?id=359&o=3		
Drobil	Pavel	id_0125	http://www.psp.cz/sqw/detail.sqw?id=5907&o=6	https://cs.wikipedia.org/wiki/Pavel_Drobil	
Dub	Tomáš	id_0126	http://www.psp.cz/sqw/detail.sqw?id=5257&o=5		
Dundáčková	Eva	id_0127	http://www.psp.cz/sqw/detail.sqw?id=360&o=5		
Dušek	Robert	id_0128	http://www.psp.cz/sqw/detail.sqw?id=5457&o=5		
Eček	Jaroslav	id_0129	http://www.psp.cz/sqw/detail.sqw?id=5908&o=6		
Ekert	Milan	id_0130	http://www.psp.cz/sqw/detail.sqw?id=210&o=4		
Emmerová	Milada	id_0131	https://www.psp.cz/sqw/text/detail.sqw?id=211&o=6		
Exner	Václav	id_0132	http://www.psp.cz/sqw/detail.sqw?id=31&o=5		
