prijmeni	jmeno	strana	id	from	dily
Fajmon	Hynek	ODS	id_0133	id_0034	2
Havlíček	Jiří	KDU-ČSL	id_0186	id_0374	2
Kocianová	Jitka	ODS	id_0281	id_0234	2
Navarová	Světlana	ČSSD	id_0420	id_0023	2
Perger	Jaroslav	US	id_0490	id_0694	2
Plánička	Pavel	KDU-ČSL	id_0505	id_0658	2
